SOURCE	TARGET	WEIGHT	WEIGHT*100000
grand	prix	1.54E-05	1.536783492
revient	à	1.54E-05	1.536783492
à	mlle	1.54E-05	1.536783492
à	recevoir	1.54E-05	1.536783492
asturies	galice	1.53E-05	1.529060962
cape	copper	1.53E-05	1.529060962
dernier	cours	1.53E-05	1.529060962
tion	à	1.53E-05	1.529060962
à	mort	1.53E-05	1.529060962
été	assez	1.53E-05	1.529060962
due	à	1.52E-05	1.521338432
tharsis	cape	1.52E-05	1.521338432
ancien	ministre	1.51E-05	1.513615902
appartient	à	1.51E-05	1.513615902
officiel	publie	1.51E-05	1.505893372
premier	acte	1.51E-05	1.505893372
sucres	bruts	1.51E-05	1.505893372
ventes	laines	1.51E-05	1.505893372
à	cours	1.51E-05	1.505893372
août	octobre	1.50E-05	1.498170842
cours	haut	1.50E-05	1.498170842
favorable	à	1.50E-05	1.498170842
jours	balles	1.50E-05	1.498170842
peigné	type	1.50E-05	1.498170842
français	à	1.49E-05	1.490448311
italien	turc	1.49E-05	1.490448311
marché	futurs	1.49E-05	1.490448311
mme	heurtey	1.49E-05	1.490448311
nécessaire	à	1.49E-05	1.490448311
victor	hugo	1.49E-05	1.490448311
courant	août	1.48E-05	1.482725781
déjà	à	1.48E-05	1.482725781
main	à	1.48E-05	1.482725781
puisse	être	1.48E-05	1.482725781
sii	mois	1.48E-05	1.482725781
sucres	raffinés	1.48E-05	1.482725781
à	moscou	1.48E-05	1.482725781
avoir	entendu	1.48E-05	1.475003251
présenté	à	1.48E-05	1.475003251
à	fond	1.48E-05	1.475003251
à	zinc	1.48E-05	1.475003251
cherché	à	1.47E-05	1.467280721
contribué	à	1.47E-05	1.467280721
fabrique	type	1.47E-05	1.467280721
parts	tour	1.47E-05	1.467280721
chambres	syndicales	1.46E-05	1.459558191
courant	mai	1.46E-05	1.459558191
devait	avoir	1.46E-05	1.459558191
grève	générale	1.46E-05	1.459558191
samedi	à	1.46E-05	1.459558191
à	février	1.46E-05	1.459558191
à	puis	1.46E-05	1.459558191
après	fortune	1.45E-05	1.451835661
chemins	étrangers	1.45E-05	1.451835661
faible	à	1.45E-05	1.451835661
longues	années	1.45E-05	1.451835661
à	parler	1.45E-05	1.451835661
appelés	à	1.44E-05	1.444113131
foncière	russe	1.44E-05	1.444113131
passage	à	1.44E-05	1.444113131
renoncé	à	1.44E-05	1.444113131
à	octobre	1.44E-05	1.444113131
